Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
428,  58 ,  18 ,  10 ,  10 ,,,
429,  50 ,  21 ,  11 ,  -   ,,,
430,  76 ,  17 ,  12 ,  60 ,,,
431,  50 ,  20 ,  15 ,  50 ,,,
432,  59 ,  21 ,  13 ,  -   ,,,
433,  44 ,  20 ,  10 ,  56 ,,,
434,  63 ,  50 ,  15 ,  5 ,,,
435,  58 ,  28 ,  13 ,  -   ,,,
436,  43 ,  23 ,  13 ,  -   ,,,
437,  57 ,  20 ,  15 ,  -   ,,,
438,  57 ,  21 ,  13 ,  -   ,,,
439,  64 ,  33 ,  17 ,  -   ,,,
440,  55 ,  26 ,  14 ,  15 ,,,
441,  41 ,  22 ,  13 ,  30 ,,,
442,  61 ,  32 ,  16 ,  38 ,,,
443,  44 ,  26 ,  15 ,  -   ,,,
444,  49 ,  25 ,  15 ,  -   ,,,
445,  43 ,  28 ,  15 ,  -   ,,,
446,  58 ,  26 ,  13 ,  23 ,,,
447,  51 ,  27 ,  10 ,  28 ,,,
448,  47 ,  22 ,  12 ,  11 ,,,
449,  50 ,  24 ,  17 ,  10 ,,,
450,  45 ,  28 ,  11 ,  25 ,,,
451,  43 ,  28 ,  13 ,  -   ,,,
452,  48 ,  26 ,  10 ,  15 ,,,
453,  41 ,  28 ,  13 ,  -   ,,,
454,  49 ,  28 ,  9 ,  32 ,,,
455,  53 ,  23 ,  15 ,  18 ,,,
456,  49 ,  21 ,  13 ,  5 ,,,
457,  47 ,  18 ,  12 ,  18 ,,,
458,  48 ,  22 ,  14 ,  50 ,,,
459,  43 ,  29 ,  14 ,  -   ,,,
460,  58 ,  23 ,  16 ,  40 ,,,
461,  59 ,  18 ,  12 ,  42 ,,,
462,  54 ,  24 ,  12 ,  30 ,,,
463,  45 ,  26 ,  10 ,  -   ,,,
464,  68 ,  29 ,  11 ,  -   ,,,
465,  72 ,  22 ,  12 ,  17 ,,,
466,  44 ,  35 ,  14 ,  30 ,,,
467,  62 ,  29 ,  11 ,  40 ,,,
468,  58 ,  21 ,  14 ,  13 ,,,
469,  46 ,  33 ,  21 ,  -   ,,,
470,  47 ,  23 ,  15 ,  30 ,,,
471,  46 ,  28 ,  12 ,  -   ,,,
472,  57 ,  16 ,  18 ,  30 ,,,
473,  66 ,  41 ,  21 ,  17 ,,,
474,  52 ,  24 ,  18 ,  -   ,,,
475,  39 ,  22 ,  15 ,  15 ,,,
476,  43 ,  22 ,  14 ,  30 ,,,
477,  56 ,  31 ,  9 ,  7 ,,,
478,  68 ,  37 ,  8 ,  -   ,,,
479,  76 ,  23 ,  27 ,  -   ,,,
480,  44 ,  18 ,  9 ,  20 ,,,
481,  62 ,  20 ,  10 ,  -   ,,,
482,  57 ,  23 ,  13 ,  20 ,,,
483,  73 ,  32 ,  20 ,  -   ,,,
484,  51 ,  30 ,  14 ,  -   ,,,
485,  53 ,  25 ,  14 ,  30 ,,,
486,  61 ,  20 ,  11 ,  -   ,,,
487,  54 ,  21 ,  10 ,  50 ,,,
488,  51 ,  33 ,  13 ,  -   ,,,
489,  57 ,  39 ,  11 ,  -   ,,,
490,  56 ,  29 ,  11 ,  30 ,,,
491,  75 ,  27 ,  15 ,  30 ,,,
492,  59 ,  26 ,  11 ,  15 ,,,
493,  51 ,  32 ,  13 ,  15 ,,,
494,  56 ,  28 ,  12 ,  -   ,,,
495,  50 ,  28 ,  13 ,  28 ,,,
496,  64 ,  19 ,  12 ,  10 ,,,
497,  47 ,  26 ,  12 ,  13 ,,,
498,  57 ,  25 ,  16 ,  40 ,,,
499,  51 ,  25 ,  14 ,  18 ,,,
500,  48 ,  21 ,  14 ,  8 ,,,
501,  53 ,  24 ,  10 ,  9 ,,,
502,  68 ,  40 ,  14 ,  30 ,,,
503,  64 ,  27 ,  7 ,  -   ,,,
504,  70 ,  18 ,  11 ,  -   ,,,
505,  82 ,  30 ,  14 ,  -   ,,,
506,  63 ,  31 ,  12 ,  15 ,,,
507,  76 ,  26 ,  16 ,  -   ,,,
508,  49 ,  26 ,  15 ,  60 ,,,
